"","PupaeSum","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","Year","EpiWk","CEpiWeek","TypeEng","TypeEngNew","MatEng","Sewer","BucketPrt","Bamboo","Toilet","TrashCan","SmlLiqCon","Tank","Vase","Furniture","CarPart","Sink","Pool","Tub","Barrel","MatPlastic","MatMetal","MatCement","MatRubber","MatCeramic","MatGlass"
"1",4,1,0,1,-79.95993,-2.10341,2014,12,64,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"2",16,1,0,1,-79.95993,-2.10341,2014,12,64,"Trash","Trash","Plastic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"3",6,1,0,1,-79.95993,-2.10341,2014,12,64,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"4",4,1,0,51,-79.95993,-2.10341,2014,12,64,"Barrel","Barrel","Metal",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"5",2,1,1,1,-79.95993,-2.10341,2014,12,64,"Barrel","Barrel","Metal",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"6",3,1,0,68,-79.95993,-2.10341,2014,12,64,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"7",51,1,0,1,-79.95993,-2.10341,2014,12,64,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"8",2,1,0,30,-79.95993,-2.10341,2014,12,64,"Barrel","Barrel","Metal",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"9",1,1,0,28,-79.9731,-2.08942,2014,12,64,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"10",11,1,0,68,-79.9731,-2.08942,2014,12,64,"Barrel","Barrel","Metal",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"11",7,1,0,68,-79.9731,-2.08942,2014,12,64,"Barrel","Barrel","Metal",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"12",2,1,0,146,-79.9731,-2.08942,2014,12,64,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"13",18,1,1,20,-79.9731,-2.08942,2014,12,64,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"14",1,1,1,92,-79.9731,-2.08942,2014,12,64,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"15",6,1,0,68,-79.9731,-2.08942,2014,12,64,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"16",51,1,0,30,-79.9731,-2.08942,2014,12,64,"Barrel","Barrel","Metal",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"17",2,1,0,68,-79.9731,-2.08942,2014,12,64,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"18",2,0,0,28,-79.9731,-2.08942,2014,12,64,"Barrel","Barrel","Plastic",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"19",20,1,1,116,-79.9731,-2.08942,2014,12,64,"Barrel","Barrel","Plastic",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"20",1,1,1,68,-79.9731,-2.08942,2014,12,64,"Barrel","Barrel","Plastic",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"21",2,1,0,68,-79.9731,-2.08942,2014,12,64,"Barrel","Barrel","Plastic",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"22",10,1,1,68,-79.9731,-2.08942,2014,12,64,"Cistern","Tank","Cement",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
