"","IDP1","LarvSum","NumCriaderos","PupaeIndex","Date","CEpiWeek","SEStatus","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2"
"1",7433,11,1,11,"2014-09-08",89,"Alta",1,2,3,0,0,3,1,1,1,0,0,0,1,NA,900,1,1,1,-79.90086,-2.13278,0,0,1.32441350335757
"2",7653,21,1,21,"2014-09-11",89,"Alta",1,1,1,0,0,4,0,1,0,0,1,0,1,0,750,0,1,1,-79.90555,-2.13106,0,0,1.32441350335757
"3",7599,9,2,4.5,"2014-09-10",89,"Alta",1,0,3,1,3,4,1,1,1,0,1,0,0,0,51637.5,NA,NA,2,-79.90359,-2.12994,0,0,1.32441350335757
"4",7673,21,1,21,"2014-09-11",89,"Alta",1,2,3,1,24,3,1,1,0,0,0,0,1,1,2160,0,0,1,-79.90632,-2.13118,0,0,1.32441350335757
"5",7378,40,1,40,"2014-09-08",89,"Alta",1,0,12,0,0,3,0,1,0,0,0,0,0,0,13125,1,0,1,-79.90648,-2.13634,0,0,1.32441350335757
"6",9403,183,1,183,"2014-12-17",103,"Media",1,0,2,1,3,7,1,1,0,0,0,1,0,1,3168,1,1,1,-79.91048,-2.20872,0,0,0
"7",9169,32,1,32,"2014-12-15",103,"Media",1,0,4,1,1,7,1,1,0,0,1,1,0,1,323680,1,0,1,-79.91015,-2.21142,0,0,0
"8",40814,4,1,4,"2015-07-08",132,"Media",0,3,2,1,0,3,0,1,1,0,1,1,0,1,288000,1,0,1,-79.92919,-2.08161,0,0,0
"9",8074,49,1,49,"2014-10-15",94,"Media",1,2,5,1,12,2,1,1,1,0,1,1,1,0,198476,1,0,1,-79.93344,-2.08096,0,7.79193418176226,0
"10",8059,25,1,25,"2014-10-14",94,"Media",1,0,2,1,6,3,1,1,0,0,1,1,0,1,114376,1,NA,1,-79.93275,-2.0813,0,7.79193418176226,0
"11",8126,7,1,7,"2014-10-16",94,"Media",1,1,5,1,12,3,1,1,1,0,1,1,0,1,147,1,0,1,-79.9339,-2.08481,0,7.79193418176226,0
"12",8239,55,1,55,"2014-10-17",94,"Media",1,0,3,1,12,3,1,1,0,0,1,1,0,1,88360,0,0,1,-79.93587,-2.08792,0,7.79193418176226,0
"13",8106,16,1,16,"2014-10-15",94,"Media",1,1,3,0,0,3,1,1,0,0,1,1,1,1,24300,1,1,1,-79.93367,-2.08327,0,7.79193418176226,0
"14",8267,136,1,136,"2014-10-17",94,"Media",1,7,8,1,12,3,1,1,0,0,1,1,0,1,518940,1,0,1,-79.93551,-2.08866,0,7.79193418176226,0
"15",8054,12,1,12,"2014-10-14",94,"Media",1,1,3,1,6,3,1,1,0,0,1,1,0,1,192,0,0,1,-79.93284,-2.081805,0,7.79193418176226,0
"16",7988,66,1,66,"2014-10-14",94,"Media",1,0,2,1,4,0,NA,1,0,0,1,1,0,NA,300,0,0,1,-79.9322,-2.08005,0,7.79193418176226,0
"17",7921,4,1,4,"2014-10-13",94,"Media",1,1,3,1,3,3,1,1,1,0,1,1,0,1,165888,0,1,1,-79.93573,-2.08559,0,7.79193418176226,0
"18",8168,9,1,9,"2014-10-16",94,"Media",1,3,2,1,12,3,1,1,0,0,1,1,1,1,259920,1,0,1,-79.93418,-2.08517,0,7.79193418176226,0
"19",8052,81,1,81,"2014-10-14",94,"Media",1,1,4,1,12,3,1,1,0,0,1,1,0,1,87025,1,1,1,-79.93275,-2.08168,0,7.79193418176226,0
"20",8139,38,2,19,"2014-10-16",94,"Media",1,2,3,1,12,3,1,1,1,0,1,1,0,1,42420,0,0,2,-79.93391,-2.08486,0,7.79193418176226,0
"21",8395,59,2,29.5,"2014-10-20",95,"Media",1,1,5,1,12,3,1,1,0,0,1,1,0,1,111818,NA,NA,147,-79.93531,-2.0851,0.100000001490116,0,7.79193418176226
"22",8188,62,1,62,"2014-10-16",94,"Media",1,0,4,1,12,3,1,1,0,0,1,1,0,1,11700,0,0,1,-79.9344,-2.08569,0,7.79193418176226,0
"23",8100,311,2,155.5,"2014-10-15",94,"Media",1,3,6,1,6,3,1,1,1,0,1,1,0,1,219520,1,0,147,-79.93398,-2.0842,0,7.79193418176226,0
"24",8345,31,2,15.5,"2014-10-17",94,"Media",1,0,4,1,12,3,1,1,0,0,1,1,1,1,221500,1,0,2,-79.93505,-2.08558,0,7.79193418176226,0
"25",7940,22,1,22,"2014-10-13",94,"Media",1,0,5,1,12,3,0,1,1,0,1,0,0,1,216482,1,0,1,-79.9355,-2.08382,0,7.79193418176226,0
"26",8173,6,1,6,"2014-10-16",94,"Media",1,3,3,1,12,3,1,1,0,0,1,1,0,1,52920,0,0,1,-79.9343,-2.08532,0,7.79193418176226,0
"27",16488,77,1,77,"2015-04-01",118,"Media",NA,5,2,1,12,7,0,1,0,0,0,1,0,1,448000,1,0,1,-79.92388,-2.09607,0.839095220678833,13.0468917093075,0.108176971595827
"28",16218,65,1,65,"2015-03-30",118,"Media",1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2500,1,1,146,-79.92586,-2.08947,0.839095220678833,13.0468917093075,0.108176971595827
"29",16464,51,1,51,"2015-04-01",118,"Media",1,3,2,1,12,7,0,1,0,0,0,1,1,1,8000,0,0,1,-79.9246,-2.096,0.839095220678833,13.0468917093075,0.108176971595827
"30",17245,69,1,69,"2015-04-09",119,"Media",1,1,5,1,24,3,0,1,0,0,0,1,0,1,7200,1,0,1,-79.92308,-2.09899,0.804155279995967,0.839095220678833,13.0468917093075
"31",16443,5,1,5,"2015-04-01",118,"Media",1,1,5,1,12,7,0,1,0,0,1,1,0,1,256000,0,0,1,-79.9251,-2.09526,0.839095220678833,13.0468917093075,0.108176971595827
"32",16274,3,1,3,"2015-03-30",118,"Media",1,4,2,0,NA,3,0,1,0,0,1,1,0,0,4800,1,0,1,-79.92491,-2.09113,0.839095220678833,13.0468917093075,0.108176971595827
"33",16261,18,1,18,"2015-03-30",118,"Media",1,2,2,0,NA,3,0,NA,0,0,1,0,1,0,1500,1,0,1,-79.92688,-2.09034,0.839095220678833,13.0468917093075,0.108176971595827
"34",17204,33,1,33,"2015-04-08",119,"Media",1,2,4,1,12,3,1,1,0,0,0,1,0,1,500,1,1,1,-79.92506,-2.09823,0.804155279995967,0.839095220678833,13.0468917093075
"35",16319,89,1,89,"2015-03-31",118,"Media",1,2,6,1,12,7,0,1,0,0,1,1,0,0,4500,0,NA,1,-79.92579,-2.09434,0.839095220678833,13.0468917093075,0.108176971595827
"36",16364,143,1,143,"2015-03-31",118,"Media",1,1,2,1,12,7,0,1,0,0,1,1,0,0,10500,1,1,1,-79.92278,-2.09471,0.839095220678833,13.0468917093075,0.108176971595827
"37",16844,1205,1,1205,"2015-04-07",119,"Media",1,1,5,1,24,3,0,1,0,0,1,1,0,0,12500,1,0,1,-79.92554,-2.0964,0.804155279995967,0.839095220678833,13.0468917093075
