"","X","LarvSum","NumCriaderos","LarvaeIndex","Illiteracy","Unemployment","Overcrowding","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2"
"1",1,21,1,21,0.551007630584229,6.69817276356465,1.76022626935534,1,1,1,0,0,4,0,1,0,0,1,0,0,0,750,0,1,1,-79.90555,-2.13106,0,0,1.32441350335757
"2",2,9,2,4,0.551007630584229,6.69817276356465,1.76022626935534,1,0,3,1,3,4,1,1,1,0,1,0,1,0,51637.5,1,0,2,-79.90359,-2.12994,0,0,1.32441350335757
"3",3,11,1,11,0.551007630584229,6.69817276356465,1.76022626935534,1,2,3,0,0,3,1,1,1,0,0,0,1,0,900,1,1,1,-79.90086,-2.13278,0,0,1.32441350335757
"4",4,40,1,40,0.551007630584229,6.69817276356465,1.76022626935534,1,0,12,0,0,3,0,1,0,0,0,0,0,0,13125,1,0,1,-79.90648,-2.13634,0,0,1.32441350335757
"5",5,21,1,21,0.551007630584229,6.69817276356465,1.76022626935534,1,2,3,1,24,3,1,1,0,0,0,0,0,0,2160,0,0,1,-79.90632,-2.13118,0,0,1.32441350335757
"6",6,32,1,32,1.84816741988717,9.89573220329859,4.21565846503659,1,0,4,1,1,7,1,1,0,0,1,1,0,0,323680,1,0,1,-79.91015,-2.21142,0,0,0
"7",7,4,1,4,4.92708490107897,7.55910921184779,3.27782760219513,0,3,2,1,0,3,0,1,1,0,1,1,1,0,288000,1,0,1,-79.92919,-2.08161,0,0,0
"8",8,7,1,7,4.19279594439955,9.27819778488432,2.92681300862343,1,1,5,1,12,3,1,1,1,0,1,1,1,0,147,1,0,1,-79.9339,-2.08481,0,7.79193418176226,0
"9",9,4,1,4,4.19279594439955,9.27819778488432,2.92681300862343,1,1,3,1,3,3,1,1,1,0,1,1,1,0,165888,0,1,1,-79.93573,-2.08559,0,7.79193418176226,0
"10",10,16,1,16,4.19279594439955,9.27819778488432,2.92681300862343,1,1,3,0,0,3,1,1,0,0,1,1,0,0,24300,1,1,1,-79.93367,-2.08327,0,7.79193418176226,0
"11",11,66,1,66,4.19279594439955,9.27819778488432,2.92681300862343,1,0,2,1,4,0,1,1,0,0,1,1,0,0,300,0,0,1,-79.9322,-2.08005,0,7.79193418176226,0
"12",12,62,1,62,4.19279594439955,9.27819778488432,2.92681300862343,1,0,4,1,12,3,1,1,0,0,1,1,0,0,11700,0,0,1,-79.9344,-2.08569,0,7.79193418176226,0
"13",13,55,1,55,4.19279594439955,9.27819778488432,2.92681300862343,1,0,3,1,12,3,1,1,0,0,1,1,0,0,88360,0,0,1,-79.93587,-2.08792,0,7.79193418176226,0
"14",14,81,1,81,4.19279594439955,9.27819778488432,2.92681300862343,1,1,4,1,12,3,1,1,0,0,1,1,0,0,87025,1,1,1,-79.93275,-2.08168,0,7.79193418176226,0
"15",15,49,1,49,4.19279594439955,9.27819778488432,2.92681300862343,1,2,5,1,12,2,1,1,1,0,1,1,1,0,198476,1,0,1,-79.93344,-2.08096,0,7.79193418176226,0
"16",16,59,2,30,4.19279594439955,9.27819778488432,2.92681300862343,1,1,5,1,12,3,1,1,0,0,1,1,0,0,111818,1,0,147,-79.93531,-2.0851,0.100000001490116,0,7.79193418176226
"17",17,22,1,22,4.19279594439955,9.27819778488432,2.92681300862343,1,0,5,1,12,3,0,1,1,0,1,0,1,0,216482,1,0,1,-79.9355,-2.08382,0,7.79193418176226,0
"18",18,9,1,9,4.19279594439955,9.27819778488432,2.92681300862343,1,3,2,1,12,3,1,1,0,0,1,1,0,0,259920,1,0,1,-79.93418,-2.08517,0,7.79193418176226,0
"19",19,6,1,6,4.19279594439955,9.27819778488432,2.92681300862343,1,3,3,1,12,3,1,1,0,0,1,1,0,0,52920,0,0,1,-79.9343,-2.08532,0,7.79193418176226,0
"20",20,31,2,16,4.19279594439955,9.27819778488432,2.92681300862343,1,0,4,1,12,3,1,1,0,0,1,1,0,0,221500,1,0,2,-79.93505,-2.08558,0,7.79193418176226,0
"21",21,12,1,12,4.19279594439955,9.27819778488432,2.92681300862343,1,1,3,1,6,3,1,1,0,0,1,1,0,0,192,0,0,1,-79.93284,-2.081805,0,7.79193418176226,0
"22",22,25,1,25,4.19279594439955,9.27819778488432,2.92681300862343,1,0,2,1,6,3,1,1,0,0,1,1,0,0,114376,1,0,1,-79.93275,-2.0813,0,7.79193418176226,0
"23",23,38,2,19,4.19279594439955,9.27819778488432,2.92681300862343,1,2,3,1,12,3,1,1,1,0,1,1,1,0,42420,0,0,2,-79.93391,-2.08486,0,7.79193418176226,0
"24",24,65,1,65,4.34817489592193,7.59447554556927,3.31123990591832,1,1,3,0,4,3,0,1,0,0,1,0,0,0,2500,1,1,146,-79.92586,-2.08947,0.839095220678833,13.0468917093075,0.108176971595827
"25",25,18,1,18,4.34817489592193,7.59447554556927,3.31123990591832,1,2,2,0,4,3,0,1,0,0,1,0,0,0,1500,1,0,1,-79.92688,-2.09034,0.839095220678833,13.0468917093075,0.108176971595827
"26",26,38,1,38,4.34817489592193,7.59447554556927,3.31123990591832,1,1,2,1,24,3,0,1,0,0,1,1,0,0,6000,1,1,1,-79.92501,-2.09678,0.804155279995967,0.839095220678833,13.0468917093075
"27",27,30,1,30,4.34817489592193,7.59447554556927,3.31123990591832,1,1,4,1,12,7,1,1,0,0,1,1,0,0,18000,1,0,1,-79.92401,-2.09785,0.804155279995967,0.839095220678833,13.0468917093075
"28",28,3,1,3,4.34817489592193,7.59447554556927,3.31123990591832,1,2,3,0,3,5,0,1,0,0,1,0,0,0,2000,0,0,1,-79.92405,-2.09514,0.839095220678833,13.0468917093075,0.108176971595827
"29",29,42,1,42,4.34817489592193,7.59447554556927,3.31123990591832,1,0,3,1,3,7,1,1,1,0,0,1,1,0,2250,1,1,1,-79.9222,-2.09877,0.804155279995967,0.839095220678833,13.0468917093075
"30",30,77,1,77,4.34817489592193,7.59447554556927,3.31123990591832,1,5,2,1,12,7,0,1,0,0,0,1,0,0,448000,1,0,1,-79.92388,-2.09607,0.839095220678833,13.0468917093075,0.108176971595827
"31",31,73,1,73,4.34817489592193,7.59447554556927,3.31123990591832,1,2,4,1,12,7,0,1,0,0,0,1,0,0,320000,0,0,1,-79.92407,-2.09523,0.839095220678833,13.0468917093075,0.108176971595827
"32",32,51,1,51,4.34817489592193,7.59447554556927,3.31123990591832,1,3,2,1,12,7,0,1,0,0,0,1,0,0,8000,0,0,1,-79.9246,-2.096,0.839095220678833,13.0468917093075,0.108176971595827
"33",33,3,1,3,4.34817489592193,7.59447554556927,3.31123990591832,1,4,2,0,2,3,0,1,0,0,1,1,0,0,4800,1,0,1,-79.92491,-2.09113,0.839095220678833,13.0468917093075,0.108176971595827
"34",34,5,1,5,4.34817489592193,7.59447554556927,3.31123990591832,1,1,5,1,12,7,0,1,0,0,1,1,0,0,256000,0,0,1,-79.9251,-2.09526,0.839095220678833,13.0468917093075,0.108176971595827
"35",35,7,1,7,4.34817489592193,7.59447554556927,3.31123990591832,1,1,2,0,4,3,0,1,0,0,1,0,0,0,4800,1,1,1,-79.92483,-2.09109,0.839095220678833,13.0468917093075,0.108176971595827
"36",36,69,1,69,4.34817489592193,7.59447554556927,3.31123990591832,1,1,5,1,24,3,0,1,0,0,0,1,0,0,7200,1,0,1,-79.92308,-2.09899,0.804155279995967,0.839095220678833,13.0468917093075
"37",37,33,1,33,4.34817489592193,7.59447554556927,3.31123990591832,1,2,4,1,12,3,1,1,0,0,0,1,0,0,500,1,1,1,-79.92506,-2.09823,0.804155279995967,0.839095220678833,13.0468917093075
"38",38,3,1,3,1.47973404136788,5.69502325537035,1.64208626196452,1,1,5,1,3,7,1,1,1,0,1,0,1,0,4000,0,0,1,-79.89258,-2.21825,0,0.050000000745058,0.527621533177827
"39",39,2,1,2,1.47973404136788,5.69502325537035,1.64208626196452,1,2,2,1,3,7,1,1,0,0,1,0,0,0,96768,1,0,1,-79.89389,-2.21652,0,0.050000000745058,0.527621533177827
"40",40,121,2,60,1.47973404136788,5.69502325537035,1.64208626196452,1,1,4,0,0,7,1,0,1,0,1,1,1,0,162003.5,1,1,2,-79.887,-2.221163,0,0.050000000745058,0.527621533177827
"41",41,3,1,3,1.47973404136788,5.69502325537035,1.64208626196452,1,0,4,0,0,7,1,0,1,0,1,1,1,0,268037,0,0,1,-79.88643,-2.2218,0,0.050000000745058,0.527621533177827
"42",42,18,1,18,1.47973404136788,5.69502325537035,1.64208626196452,1,2,3,1,3,7,1,1,1,0,1,0,1,0,8820,1,1,1,-79.89667,-2.21641,0,0.050000000745058,0.527621533177827
"43",43,38,1,38,1.47973404136788,5.69502325537035,1.64208626196452,1,0,1,0,0,7,1,0,1,0,1,1,1,0,18000,1,0,1,-79.88657,-2.22181,0,0.050000000745058,0.527621533177827
"44",44,40,1,40,1.47973404136788,5.69502325537035,1.64208626196452,1,3,2,0,0,7,1,0,1,0,1,1,1,0,312852,0,0,1,-79.88683,-2.22163,0,0.050000000745058,0.527621533177827
"45",45,69,1,69,1.47973404136788,5.69502325537035,1.64208626196452,1,0,3,0,0,7,1,0,1,0,1,0,1,0,57660,0,0,1,-79.88684,-2.22157,0,0.050000000745058,0.527621533177827
"46",46,16,1,16,1.47973404136788,5.69502325537035,1.64208626196452,1,2,2,0,0,7,1,0,1,0,1,0,1,0,115200,0,0,1,-79.88661,-2.2217,0,0.050000000745058,0.527621533177827
"47",47,11,1,11,3.74492919543898,11.7108966957394,3.03339889716611,1,0,2,1,2,4,0,1,0,0,1,1,0,0,201840,1,0,1,-79.91007,-2.2199,0.169591813471279,6.9920856139479,0
"48",48,58,1,58,3.74492919543898,11.7108966957394,3.03339889716611,1,0,4,0,2,4,1,1,0,0,1,0,0,0,1728,0,1,1,-79.90823,-2.2212,0.169591813471279,6.9920856139479,0
"49",49,56,1,56,3.74492919543898,11.7108966957394,3.03339889716611,1,0,7,1,1,4,0,1,0,0,1,1,0,0,32856,1,0,1,-79.21341,-2.21908,0.169591813471279,6.9920856139479,0
"50",50,15,1,15,3.74492919543898,11.7108966957394,3.03339889716611,1,0,3,1,3,4,0,1,0,0,1,1,0,0,1200,0,1,1,-79.9113,-2.21945,0.169591813471279,6.9920856139479,0
"51",51,8,1,8,3.74492919543898,11.7108966957394,3.03339889716611,1,0,2,1,3,4,1,1,0,0,1,0,0,0,108,1,1,1,-79.9099,-2.22064,0.169591813471279,6.9920856139479,0
"52",52,55,1,55,3.74492919543898,11.7108966957394,3.03339889716611,1,0,3,1,3,4,1,1,0,0,1,0,0,0,371200,1,0,1,-79.90877,-2.22129,0.169591813471279,6.9920856139479,0
"53",53,16,1,16,3.74492919543898,11.7108966957394,3.03339889716611,1,0,3,1,3,4,0,1,0,0,1,1,0,0,18000,1,1,1,-79.91134,-2.21081,0.169591813471279,6.9920856139479,0
"54",54,20,1,20,3.74492919543898,11.7108966957394,3.03339889716611,1,0,6,1,12,4,1,1,0,0,1,1,0,0,41070,1,1,1,-79.91221,-2.21974,0.169591813471279,6.9920856139479,0
"55",55,77,1,77,3.74492919543898,11.7108966957394,3.03339889716611,1,0,2,1,12,4,0,1,0,0,1,0,0,0,2560,0,0,1,-79.91332,-2.21943,0.169591813471279,6.9920856139479,0
"56",56,20,1,20,3.74492919543898,11.7108966957394,3.03339889716611,1,0,1,1,2,4,1,1,0,0,1,1,0,0,485980,0,0,1,-79.9087,-2.2078,0.169591813471279,6.9920856139479,0
"57",57,21,2,10,4.68199228631547,8.3822074344322,3.15364306760217,1,1,7,0,0,3,1,0,0,0,0,1,0,0,9375,1,0,2,-79.95175,-2.11711,39.6577286507866,18.0991417865617,12.8008587692668
"58",58,1,1,1,4.68199228631547,8.3822074344322,3.15364306760217,1,7,4,0,0,3,1,0,0,0,0,1,0,0,269120,1,0,1,-79.9519,-2.11889,39.6577286507866,18.0991417865617,12.8008587692668
"59",59,15,2,8,4.68199228631547,8.3822074344322,3.15364306760217,1,1,4,1,2,3,1,0,0,0,0,1,0,0,9000,1,0,2,-79.9522,-2.11906,39.6577286507866,18.0991417865617,12.8008587692668
"60",60,2,1,2,4.68199228631547,8.3822074344322,3.15364306760217,1,2,3,1,2,3,1,0,0,0,0,1,0,0,269120,1,0,1,-79.95096,-2.11791,39.6577286507866,18.0991417865617,12.8008587692668
"61",61,4,1,4,4.68199228631547,8.3822074344322,3.15364306760217,1,0,5,1,3,3,1,0,0,0,0,1,0,0,100920,1,0,1,-79.95156,-2.11758,39.6577286507866,18.0991417865617,12.8008587692668
"62",62,11,1,11,4.68199228631547,8.3822074344322,3.15364306760217,1,1,7,1,12,3,1,0,0,0,0,1,0,0,269120,1,0,1,-79.9522,-2.118825,39.6577286507866,18.0991417865617,12.8008587692668
"63",63,4,1,4,4.68199228631547,8.3822074344322,3.15364306760217,1,1,3,0,0,3,1,0,0,0,0,1,0,0,5e+05,1,0,1,-79.95172,-2.1183,39.6577286507866,18.0991417865617,12.8008587692668
"64",64,2,1,2,4.68199228631547,8.3822074344322,3.15364306760217,1,0,2,1,3,3,1,0,0,0,0,1,0,0,1500,1,0,1,-79.95249,-2.117515,39.6577286507866,18.0991417865617,12.8008587692668
"65",65,4,1,4,4.68199228631547,8.3822074344322,3.15364306760217,1,1,7,1,2,3,1,0,0,0,0,1,0,0,67280,0,0,1,-79.951,-2.11776,39.6577286507866,18.0991417865617,12.8008587692668
"66",66,11,1,11,4.68199228631547,8.3822074344322,3.15364306760217,1,1,2,1,2,3,1,0,0,0,0,1,0,0,67280,1,0,1,-79.95139,-2.117536,39.6577286507866,18.0991417865617,12.8008587692668
"67",67,9,1,9,4.68199228631547,8.3822074344322,3.15364306760217,1,0,3,1,3,3,1,0,0,0,0,1,0,0,67280,1,0,1,-79.95265,-2.11845,39.6577286507866,18.0991417865617,12.8008587692668
"68",68,6,1,6,4.68199228631547,8.3822074344322,3.15364306760217,1,1,5,1,2,3,1,0,0,0,0,1,0,0,8e+05,1,0,1,-79.95107,-2.118165,39.6577286507866,18.0991417865617,12.8008587692668
"69",69,2,1,2,4.68199228631547,8.3822074344322,3.15364306760217,1,2,4,0,0,7,1,0,0,0,0,1,0,0,1125,1,0,1,-79.95146,-2.118815,39.6577286507866,18.0991417865617,12.8008587692668
