IDP1,PupaeSum,NumCriaderos,PupaeIndex,Illiteracy,Unemployment,Overcrowding,LarvaePresence,NumChildren,NumAdults,InterruptFreq,InterruptDurHrs,TrashCollectPerWk,LargeSolidColl,SewerConn,FumigLWs,AbateLWs,BiolarvLWs,CanopyUse,ProtectMesh,BreedingSites,VolCriadero,OutsideLocation,DirtyWater,WaterVol,week0,week1,week2
2698,1,1,1,2.522907917,7.420226408,2.37355238,1,1.521666667,3,0,0,3,1,1,0,0,1,0,1,1,150,1,0,51,2.667865585,33.83169108,23.05793827
7673,13,1,13,0.551007631,6.698172764,1.760226269,1,2,3,1,24,3,1,1,0,0,0,0,1,1,2160,0,0,1,0,0,1.324413503
7374,19,1,19,0.551007631,6.698172764,1.760226269,1,0,11,0,0,3,1,1,0,0,0,0,1,0,5103,1,0,1,0,0,1.324413503
7599,4,2,2,0.551007631,6.698172764,1.760226269,1,0,3,1,3,4,1,1,1,0,1,0,0,0,51637.5,0.66,0.33,2,0,0,1.324413503
7653,1,1,1,0.551007631,6.698172764,1.760226269,1,1,1,0,0,4,0,1,0,0,1,0,1,0,750,0,1,1,0,0,1.324413503
29846,7,1,7,1.84816742,9.895732203,4.215658465,1,2,5,0,0,3,1,0.784,1,0,0.135,0,0.25,0.18,0,1,0,1,36.09407959,15.78118084,22.89616769
30092,6,2,3,1.84816742,9.895732203,4.215658465,1,1,3,0,0,3,1,0.724,1,0,0.11,0,0.15,0.13,0,1,1,28,36.09407959,15.78118084,22.89616769
30016,8,2,4,1.84816742,9.895732203,4.215658465,1,0,5,0,0,3,1,0.764,1,0,0.13,0,0.16,0.15,0,1,1,71,36.09407959,15.78118084,22.89616769
29854,24,2,12,1.84816742,9.895732203,4.215658465,1,0,1,0,0,3,1,0.760666667,1,0,0.17,0,0.11,0.2,0,1,1,77,36.09407959,15.78118084,22.89616769
9403,9,1,9,1.84816742,9.895732203,4.215658465,1,0,2,1,3,7,1,1,0,0,0,1,0,1,3168,1,1,1,0,0,0
29826,2,1,2,1.84816742,9.895732203,4.215658465,1,2.552333333,4.180452381,0,0.00E+00,3,1,0.7625,1,0.02,0.236666667,0,0.19,0.15,0,1,1,1,36.09407959,15.78118084,22.89616769
29515,16,1,16,1.84816742,9.895732203,4.215658465,1,0,1,0,0,3,1,0.782105263,0.79875,0.06,0.265,0,0.29,0.4,216000,1,0,1,36.09407959,15.78118084,22.89616769
29811,2,1,2,1.84816742,9.895732203,4.215658465,1,2,5,0,0,3,1,0.754,1,0,0.241666667,0,0.14,0.11,0,1,0,117,36.09407959,15.78118084,22.89616769
9169,9,1,9,1.84816742,9.895732203,4.215658465,1,0,4,1,1,7,1,1,0,0,1,1,0,1,323680,1,0,1,0,0,0
30063,30,1,30,1.84816742,9.895732203,4.215658465,1,3,2,0,0,3,1,0.753166667,1,0,0.15,0,0.13,0.11,0,1,1,116,36.09407959,15.78118084,22.89616769
30049,2,1,2,1.84816742,9.895732203,4.215658465,1,3,5,0,0,3,1,0.7465,1,0,0.226666667,0,0.15,0.11,0,1,1,64,36.09407959,15.78118084,22.89616769
29790,27,3,9,1.84816742,9.895732203,4.215658465,1,0,2,0,0,3,1,0.815666667,1,0,0.2,0,0.18,0.12,0,1,1,296,36.09407959,15.78118084,22.89616769
29938,6,1,6,1.84816742,9.895732203,4.215658465,1,2,8,0,0,3,1,0.754,1,0,0.13,0,0.2,0.18,0,1,0.282363636,1,36.09407959,15.78118084,22.89616769
29526,21,1,21,1.84816742,9.895732203,4.215658465,1,0,2,0,0,3,1,0.792730263,0.80875,0.06,0.255,0,0.28,0.37,360000,1,0,1,36.09407959,15.78118084,22.89616769
29921,1,1,1,1.84816742,9.895732203,4.215658465,1,3,5,0,0,3,1,0.724,1,0,0.263333333,0,0.16,0.14,0,1,0,23,36.09407959,15.78118084,22.89616769
29573,2,1,2,1.84816742,9.895732203,4.215658465,1,4,2,0,0,3,1,0.7565,0.92,0.065,0.246666667,0,0.18,0.18,0,1,0.560863636,1,36.09407959,15.78118084,22.89616769
29561,5,1,5,1.84816742,9.895732203,4.215658465,1,6,3,0,0,3,1,0.742730263,0.78,0.085,0.195,0,0.22,0.34,80000,1,0,1,36.09407959,15.78118084,22.89616769
29935,1,1,1,1.84816742,9.895732203,4.215658465,1,3,4,0,0,3,1,0.7165,1,0,0.258333333,0,0.165,0.13,0,1,1,64,36.09407959,15.78118084,22.89616769
30107,25,2,12,1.84816742,9.895732203,4.215658465,1,0,2,0,0,3,1,0.780666667,1,0,0.15,0,0.18,0.17,0,1,0,90,36.09407959,15.78118084,22.89616769
29588,8,1,8,1.84816742,9.895732203,4.215658465,1,0,3,0,0,3,1,0.783166667,0.92,0.02,0.14,0,0.19,0.13,0,1,1,92,36.09407959,15.78118084,22.89616769
29909,7,1,7,1.84816742,9.895732203,4.215658465,1,0,5,0,0,3,1,0.814,1,0,0.145,0,0.25,0.2,0,1,0,1,36.09407959,15.78118084,22.89616769
28226,1,1,1,0.442735508,6.073761039,1.663977222,1,0,3,0,0,3,1,0.73,0,0,0.73,0,0.68,0.5,0,1,1,1,0.100000001,1.85208489,0
40814,4,1,4,4.927084901,7.559109212,3.277827602,0,3,2,1,0,3,0,1,1,0,1,1,0,1,288000,1,0,1,0,0,0
40803,9,1,9,4.927084901,7.559109212,3.277827602,1,1,5,1,3,3,0,1,0,0,0,1,0,1,180000,0,0,1,0,0,0
29085,14,1,14,5.413085568,8.333836644,2.905306466,1,0,4,0,0,3,1,0.751666667,0,1,0.81,0,0.306666667,0.616666667,0,1,0,1,0.218120967,0.168866063,2.105107975
29093,29,1,29,5.413085568,8.333836644,2.905306466,1,2,3,0,0,3,1,0.691666667,0.506,0.573636364,1,0,0.316666667,0.596666667,0,1,1,18,0.218120967,0.168866063,2.105107975
29235,20,1,20,5.413085568,8.333836644,2.905306466,1,1,5,0,0,3,1,0.711666667,1,0.52,1,0,0.275,0.526666667,0,1,1,23,0.218120967,0.168866063,2.105107975
8074,6,1,6,4.192795944,9.278197785,2.926813009,1,2,5,1,12,2,1,1,1,0,1,1,1,0,198476,1,0,1,0,7.791934182,0
7988,1,1,1,4.192795944,9.278197785,2.926813009,1,0,2,1,4,0,0.79,1,0,0,1,1,0,0.59,300,0,0,1,0,7.791934182,0
8100,4,1,4,4.192795944,9.278197785,2.926813009,1,3,6,1,6,3,1,1,1,0,1,1,0,1,163072,1,0,1,0,7.791934182,0
8395,6,2,3,4.192795944,9.278197785,2.926813009,1,1,5,1,12,3,1,1,0,0,1,1,0,1,161646.5,1,0,2,0.100000001,0,7.791934182
7921,1,1,1,4.192795944,9.278197785,2.926813009,1,1,3,1,3,3,1,1,1,0,1,1,0,1,165888,0,1,1,0,7.791934182,0
8188,16,1,16,4.192795944,9.278197785,2.926813009,1,0,4,1,12,3,1,1,0,0,1,1,0,1,11700,0,0,1,0,7.791934182,0
8345,6,2,3,4.192795944,9.278197785,2.926813009,1,0,4,1,12,3,1,1,0,0,1,1,1,1,221500,1,0,2,0,7.791934182,0
8173,2,1,2,4.192795944,9.278197785,2.926813009,1,3,3,1,12,3,1,1,0,0,1,1,0,1,52920,0,0,1,0,7.791934182,0
8267,21,1,21,4.192795944,9.278197785,2.926813009,1,7,8,1,12,3,1,1,0,0,1,1,0,1,518940,1,0,1,0,7.791934182,0
39493,5,1,5,4.348174896,7.594475546,3.311239906,1,0,1,1,3,4,1,1,0,0,0,1,0,1,27000,1,1,1,0,0.983307185,6.607443922
39515,2,1,2,4.348174896,7.594475546,3.311239906,1,0,2,1,3,7,1,1,0,0,0,1,0,1,9000,1,0,1,0,0.983307185,6.607443922
39611,7,1,7,4.348174896,7.594475546,3.311239906,1,1,2,1,3,4,1,1,0,0,1,1,0,1,100920,1,0,1,0,0.983307185,6.607443922
39543,18,1,18,4.348174896,7.594475546,3.311239906,1,0,2,1,2,3,1,1,0,0,0,0,1,1,384000,1,0,1,0,0.983307185,6.607443922
16261,1,1,1,4.348174896,7.594475546,3.311239906,1,2,2,0,0.55,3,0,0.856666667,0,0,1,0,1,0,1500,1,0,1,0.839095221,13.04689171,0.108176972
17165,6,1,6,4.348174896,7.594475546,3.311239906,1,0,6,1,3,3,1,1,0,0,0,1,0,1,2400,1,0,1,0.80415528,0.839095221,13.04689171
25743,4,1,4,3.539498129,8.983813088,3.046505214,1,2,3,0,0.796666667,3,1,0.676,0,0.36,1,1,1,0.55,0,1,0,65,0,0,0
25572,1,1,1,3.539498129,8.983813088,3.046505214,1,0,4,0,1.78,3,1,0.676,0,0.31,1,1,0,0.54,0,0.83,0.18,68,0,0,0
25772,1,1,1,3.539498129,8.983813088,3.046505214,1,0,2,0,1.38,3,1,0.686,0,0.34,1,1,1,0.52,0,0.86,0.21,28,0,0,0
25607,7,1,7,3.539498129,8.983813088,3.046505214,1,0,5,0,1.57,3,1,0.626,0,0.29,1,0,0,0.47,0,0.86,0.193333333,28,0,0,0
7300,8,1,8,3.717713196,9.951058865,3.86702886,1,2,3,0,0.00E+00,3,1,0,0,0,0,0,0,0,0,1,1,64,35.47476846,16.8189946,23.89589664
7323,6,1,6,3.717713196,9.951058865,3.86702886,1,4,4,0,0.00E+00,3,1,0,0,0,0,0,0,0,5,1,1,116,35.47476846,16.8189946,23.89589664
7297,4,1,4,3.717713196,9.951058865,3.86702886,1,4,8,0,0,3,1,0,0,0,0,0,0,0,0,1,0,29,35.47476846,16.8189946,23.89589664
7313,4,1,4,3.717713196,9.951058865,3.86702886,1,3,6,0,0,3,1,0,0,0,0,0,0,0,10,1,1,29,35.47476846,16.8189946,23.89589664
7316,10,2,5,3.717713196,9.951058865,3.86702886,0,1,3,0,0.00E+00,3,1,0,0,0,0,0,0,0,3,1,1,184,35.47476846,16.8189946,23.89589664
7325,56,2,28,3.717713196,9.951058865,3.86702886,1,1,4,0,0,3,1,0,0,0,0,0,0,0,1801.5,1,1,185,35.47476846,16.8189946,23.89589664
7299,9,1,9,3.717713196,9.951058865,3.86702886,1,1,8,0,0,3,1,0,0,0,0,0,0,0,2400,1,1,65,35.47476846,16.8189946,23.89589664
7298,25,2,12,3.717713196,9.951058865,3.86702886,1,4,2,0,0,3,1,0,0,0,0,0,0,0,600,1,0,150,35.47476846,16.8189946,23.89589664
7318,27,1,27,3.717713196,9.951058865,3.86702886,1,0,3,0,0,3,1,1,0,0,0,0,0,0,0,1,1,1,35.47476846,16.8189946,23.89589664
7335,6,1,6,3.717713196,9.951058865,3.86702886,1,4,5,0,0,3,1,0,0,0,0,0,0,0,1,1,1,23,35.47476846,16.8189946,23.89589664
7342,55,2,28,3.717713196,9.951058865,3.86702886,1,2,4,0,0,3,1,0,0,0,0,0,0,0,250.5,1,1,141,35.47476846,16.8189946,23.89589664
9667,1,1,1,1.479734041,5.695023255,1.642086262,1,0,1,0,0,7,1,0,1,0,1,1,0,1,18000,1,0,1,0,0.050000001,0.527621533
8503,3,1,3,1.479734041,5.695023255,1.642086262,1,0,3,1,3,7,1,1,0,0,1,0,1,1,900,1,1,1,0,0.050000001,0.527621533
9651,6,1,6,1.479734041,5.695023255,1.642086262,1,0,4,0,0,7,1,0,1,0,1,1,0,1,268037,0,0,1,0,0.050000001,0.527621533
9754,51,2,26,1.479734041,5.695023255,1.642086262,1,1,4,0,0,7,1,0,1,0,1,1,0,1,162003.5,1,1,2,0,0.050000001,0.527621533
9678,16,1,16,1.479734041,5.695023255,1.642086262,1,2,2,0,0,7,1,0,1,0,1,0,0,1,115200,0,0,1,0,0.050000001,0.527621533
9732,12,1,12,1.479734041,5.695023255,1.642086262,1,3,2,0,0,7,1,0,1,0,1,1,0,1,312852,0,0,1,0,0.050000001,0.527621533
9522,2,1,2,1.479734041,5.695023255,1.642086262,1,2,3,1,3,7,1,1,1,0,1,0,1,0,8820,1,1,1,0,0.050000001,0.527621533
10588,1,1,1,1.479734041,5.695023255,1.642086262,1,2,2,1,3,7,1,1,0,0,1,0,0,1,96768,1,0,1,0,0.050000001,0.527621533
36857,1,1,1,2.439778094,10.30468659,2.869627853,1,1,4,0,0,3,1,1,0,0,1,1,0,0,350,1,1,1,0,0.100000001,0
25444,3,1,3,2.157188558,8.940933198,2.186899624,1,0,4,0,0,3,1,0.94,0,0,1,0,1,0.5,0,1,0,1,0,0,0
16114,3,1,3,3.744929195,11.7108967,3.033398897,1,0,3,1,3,4,1,1,0,0,1,0,0,1,371200,1,0.17,1,0.169591813,6.992085614,0
15513,10,1,10,3.744929195,11.7108967,3.033398897,1,0,6,1,12,4,1,1,0,0,1,1,0,1,41070,1,1,1,0.169591813,6.992085614,0
16152,5,1,5,3.744929195,11.7108967,3.033398897,1,0,4,0,1.62,3.33,0.77,0.99,0.2,0.18,0.88,0,0.36,0.8275,1728,0,1,1,0.169591813,6.992085614,0
15435,8,1,8,3.744929195,11.7108967,3.033398897,1,0,2,1,12,4,0,1,0,0,1,0,1,1,2560,0,0,1,0.169591813,6.992085614,0
15778,17,1,17,3.744929195,11.7108967,3.033398897,1,0,2,1,2,4,0,1,0,0,1,1,1,1,201840,1,0,1,0.169591813,6.992085614,0
15868,12,1,12,3.744929195,11.7108967,3.033398897,1,0,1,1,2,4,1,1,0,0,1,1,1,1,485980,0,0,1,0.169591813,6.992085614,0
15417,3,1,3,3.744929195,11.7108967,3.033398897,1,0,7,1,1,4,0,1,0,0,1,1,0,1,32856,1,0,1,0.169591813,6.992085614,0
30264,21,3,7,1.833700929,10.7776026,2.285484607,1,3,1,0,0,3,1,0.841,0.41,0,0.5,0,0.166666667,0.3,0,1,1,120,38.34469974,2.296983515,37.33416219
29819,7,1,7,1.833700929,10.7776026,2.285484607,1,0,4,0,0,3,1,0.85,0,0,0.51,0,0.29,0.31,0,1,0,92,38.34469974,2.296983515,37.33416219
29940,1,1,1,1.833700929,10.7776026,2.285484607,1,0,4,0,0,3,1,0.78,1,1,0.66,0,0.318333333,0.34,0,1,0,23,38.34469974,2.296983515,37.33416219
30181,2,1,2,1.833700929,10.7776026,2.285484607,1,0,3,0,0,3,1,0.846,0.385,1,0.67,0,0.265,0.33,0,1,1,64,38.34469974,2.296983515,37.33416219
30082,7,1,7,1.833700929,10.7776026,2.285484607,1,0,2,0,0,3,1,0.896,0,1,0.61,0,0.296428571,0.3975,0,0.99,0.638333333,1,38.34469974,2.296983515,37.33416219
30012,2,1,2,1.833700929,10.7776026,2.285484607,1,2,10,0,0,3,1,0.82,0,1,0.67,0,0.331666667,0.21,0,1,0,104,38.34469974,2.296983515,37.33416219
30503,5,1,5,1.833700929,10.7776026,2.285484607,1,0,2,0,0,3,1,0.846,0.435,1,0.66,0,0.255,0.37,0,1,1,64,38.34469974,2.296983515,37.33416219
30103,2,1,2,1.833700929,10.7776026,2.285484607,1,0,2,0,0,3,1,0.846,0.3,0,0.58,0,0.285,0.37,0,1,1,18,38.34469974,2.296983515,37.33416219
29800,17,1,17,1.833700929,10.7776026,2.285484607,1,0,5,0,0,3,1,0.83,0,1,0.57,0,0.295,0.28,0,1,1,104,38.34469974,2.296983515,37.33416219
30528,7,1,7,1.833700929,10.7776026,2.285484607,1,1,3,0,0,3,1,0.846,0.355,1,0.62,0,0.265,0.26,0,1,1,92,38.34469974,2.296983515,37.33416219
30625,131,4,33,1.833700929,10.7776026,2.285484607,1,4,9,0,0,3,1,0.77,1,0,0.57,0,0.26,0.5,192000,1,0,84,38.34469974,2.296983515,37.33416219
30396,9,2,4,1.833700929,10.7776026,2.285484607,1,0,0,0,0,3,1,0.851,0.35,0.551923077,0.57,0,0.215,0.35,0,1,1,128,38.34469974,2.296983515,37.33416219
30569,2,1,2,1.833700929,10.7776026,2.285484607,0,1,5,0,0,3,1,0.85,0.385,1,0.695,0,0.29,0.26,0,1,0,29,38.34469974,2.296983515,37.33416219
29932,12,1,12,1.833700929,10.7776026,2.285484607,1,0,2,0,0,3,1,0.846,1,1,0.61,0,0.298333333,0.383333333,0,1,0,67,38.34469974,2.296983515,37.33416219
29955,1,1,1,1.833700929,10.7776026,2.285484607,1,2,4,0,0,3,1,0.79,0.47,1,1,0,0.256666667,0.32,0,1,0,29,38.34469974,2.296983515,37.33416219
42071,1,1,1,3.243239104,7.522443737,2.504144281,1,2,3,1,24,3,0,1,0,0,1,1,0,1,252000,1,0,23,0,0,1.618052992
42072,4,1,4,3.243239104,7.522443737,2.504144281,1,2,3,1,24,3,0,1,0,0,1,1,0,1,108000,0,0,1,0,0,1.618052992
43531,24,1,24,3.243239104,7.522443737,2.504144281,1,0,1,1,2,3,0,1,1,0,1,0.9,1,1,450000,1,0,1,0,0,1.618052992
42070,1,1,1,3.243239104,7.522443737,2.504144281,1,1,3,1,24,0,0,1,0,0,1,1,0,1,144000,0,0,1,0,0,1.618052992
42560,9,1,9,3.243239104,7.522443737,2.504144281,1,1.318888889,1,1,6,0,0,0,0,0,0,1,0,1,252000,1,0,1,0.050000001,0,0
37021,17,1,17,4.681992286,8.382207434,3.153643068,1,1,7,1,12,3,1,0,0,0,0,1,0,1,269120,1,0,1,39.65772865,18.09914179,12.80085877
37298,24,2,12,4.681992286,8.382207434,3.153643068,1,2,3,1,2,3,1,0,0,0,0,1,0,1,148016,1,0,2,39.65772865,18.09914179,12.80085877
37233,42,1,42,4.681992286,8.382207434,3.153643068,1,0,5,1,3,3,1,0,0,0,0,1,0,1,100920,1,0,1,39.65772865,18.09914179,12.80085877
37221,30,2,15,4.681992286,8.382207434,3.153643068,1,1,7,0,0,3,1,0,0,0,0,1,0,1,9375,1,0,2,39.65772865,18.09914179,12.80085877
37032,16,1,16,4.681992286,8.382207434,3.153643068,1,0,3,1,3,3,1,0,0,0,0,1,0,1,67280,1,0,1,39.65772865,18.09914179,12.80085877
37293,15,1,15,4.681992286,8.382207434,3.153643068,1,1,7,1,2,3,1,0,0,0,0,1,0,1,67280,0,0,1,39.65772865,18.09914179,12.80085877
37288,7,1,7,4.681992286,8.382207434,3.153643068,1,1,5,1,2,3,1,0,0,0,0,1,0,1,8.00E+05,1,0,1,39.65772865,18.09914179,12.80085877
37182,6,1,6,4.681992286,8.382207434,3.153643068,1,1,3,0,0,3,1,0,0,0,0,1,0,1,5.00E+05,1,0,1,39.65772865,18.09914179,12.80085877
37180,15,1,15,4.681992286,8.382207434,3.153643068,1,7,4,0,0,3,1,0,0,0,0,1,0,1,269120,1,0,1,39.65772865,18.09914179,12.80085877
36995,8,1,8,4.681992286,8.382207434,3.153643068,1,0,2,1,3,3,1,0,0,0,0,1,0,1,1500,1,0,1,39.65772865,18.09914179,12.80085877
37286,5,1,5,4.681992286,8.382207434,3.153643068,1,0,4,1,12,3,1,0,0,0,0,1,0,1,67280,1,0,1,39.65772865,18.09914179,12.80085877
37229,9,1,9,4.681992286,8.382207434,3.153643068,1,1,2,1,2,3,1,0,0,0,0,1,0,1,67280,1,0,1,39.65772865,18.09914179,12.80085877
37025,24,1,24,4.681992286,8.382207434,3.153643068,1,2,4,1,12,3,1,0,0,0,0,1,0,1,400,1,0,1,39.65772865,18.09914179,12.80085877
37243,17,1,17,4.681992286,8.382207434,3.153643068,1,2,4,0,0,7,1,0,0,0,0,1,0,1,1125,1,0,1,39.65772865,18.09914179,12.80085877
37058,35,2,18,4.681992286,8.382207434,3.153643068,1,1,4,1,2,3,1,0,0,0,0,1,0,1,9000,1,0,2,39.65772865,18.09914179,12.80085877
38870,17,1,17,6.284872479,6.332676421,3.224200954,1,3,2,1,2,3,1,1,0,0,1,1,0,1,144000,1,0,1,0.080538297,0,0.938923394
38813,9,1,9,6.284872479,6.332676421,3.224200954,1,2,2,1,2,4,1,0,0,0,1,1,0,1,100920,1,0,1,0.080538297,0,0.938923394
41057,6,1,6,6.284872479,6.332676421,3.224200954,1,4,4,1,3,3,0,0,0,0,1,1,1,1,180000,1,0,1,0,0,0
38750,9,1,9,6.284872479,6.332676421,3.224200954,1,0,3,0,0,4,1,1,0,0,0,1,0,1,108000,1,0,1,0.080538297,0,0.938923394
38785,4,1,4,6.284872479,6.332676421,3.224200954,1,1,4,1,2,4,1,0,0,0,1,1,0,1,269120,1,0,146,0.080538297,0,0.938923394
40954,2,1,2,6.284872479,6.332676421,3.224200954,1,1,4,1,3,3,0,0,0,0,1,1,0,1,144000,1,0,1,0,0,0
38793,24,2,12,6.284872479,6.332676421,3.224200954,1,0,5,1,2,4,1,0,0,0,0,1,0,1,151380,1,0,2,0.080538297,0,0.938923394
38869,2,1,2,6.284872479,6.332676421,3.224200954,1,4,2,1,2,3,1,1,0,0,1,1,0,1,108000,1,0,1,0.080538297,0,0.938923394
