"","KEYSC","IDP1","PupaeSum","NumCriaderos","PupaeIndex","Date","CEpiWeek","Illiteracy","Unemployment","Overcrowding","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2","week3","week4","week5"
"2","ALBORADA 4 S4",7673,13,1,13,"2014-09-11",89,0.551007630584229,6.69817276356465,1.76022626935534,1,2,3,1,24,3,1,1,0,0,0,0,1,1,2160,0,0,1,-79.90632,-2.13118,0,0,1.32441350335757,0,0.076337842742834,0
"3","ALBORADA 4 S4",7374,19,1,19,"2014-09-08",89,0.551007630584229,6.69817276356465,1.76022626935534,1,0,11,0,0,3,1,1,0,0,0,0,1,0,5103,1,0,1,-79.906,-2.13711,0,0,1.32441350335757,0,0.076337842742834,0
"5","ALBORADA 4 S4",7653,1,1,1,"2014-09-11",89,0.551007630584229,6.69817276356465,1.76022626935534,1,1,1,0,0,4,0,1,0,0,1,0,1,0,750,0,1,1,-79.90555,-2.13106,0,0,1.32441350335757,0,0.076337842742834,0
"10","ANTEPARA 2 S02",9403,9,1,9,"2014-12-17",103,1.84816741988717,9.89573220329859,4.21565846503659,1,0,2,1,3,7,1,1,0,0,0,1,0,1,3168,1,1,1,-79.91048,-2.20872,0,0,0,0,0,0
"14","ANTEPARA 2 S02",9169,9,1,9,"2014-12-15",103,1.84816741988717,9.89573220329859,4.21565846503659,1,0,4,1,1,7,1,1,0,0,1,1,0,1,323680,1,0,1,-79.91015,-2.21142,0,0,0,0,0,0
"28","BASTION POPULAR NORTE 1 S01",40814,4,1,4,"2015-07-08",132,4.92708490107897,7.55910921184779,3.27782760219513,0,3,2,1,0,3,0,1,1,0,1,1,0,1,288000,1,0,1,-79.92919,-2.08161,0,0,0,0,0,0.17065188372584
"29","BASTION POPULAR NORTE 1 S01",40803,9,1,9,"2015-07-08",132,4.92708490107897,7.55910921184779,3.27782760219513,1,1,5,1,3,3,0,1,0,0,0,1,0,1,180000,0,0,1,-79.92935,-2.08195,0,0,0,0,0,0.17065188372584
"33","BASTION POPULAR NORTE 3 S03",8074,6,1,6,"2014-10-15",94,4.19279594439955,9.27819778488432,2.92681300862343,1,2,5,1,12,2,1,1,1,0,1,1,1,0,198476,1,0,1,-79.93344,-2.08096,0,7.79193418176226,0,0.498269080037382,9.67536088472547,0
"35","BASTION POPULAR NORTE 3 S03",8100,4,1,4,"2014-10-15",94,4.19279594439955,9.27819778488432,2.92681300862343,1,3,6,1,6,3,1,1,1,0,1,1,0,1,163072,1,0,1,-79.93398,-2.0842,0,7.79193418176226,0,0.498269080037382,9.67536088472547,0
"36","BASTION POPULAR NORTE 3 S03",8395,6,2,3,"2014-10-20",95,4.19279594439955,9.27819778488432,2.92681300862343,1,1,5,1,12,3,1,1,0,0,1,1,0,1,161646.5,1,0,2,-79.93531,-2.0851,0.100000001490116,0,7.79193418176226,0,0.498269080037382,9.67536088472547
